record_number,code,band_size,scribe,bander,band_prefix,band_number,species_code,species_name,calendar_age,wrp_age,how_age,how_age2,sex,how_sex,how_sex2,eye_color,skull,bp,cp,fat,body_molt,ff_molt,ff_wear,juv_plg,pp_covs,gr_covs,primaries,secondaries,tertials,rectrices,body_plg,wing_chord,mass,day,month,year,capture_time,release_time,station,net_number,status,disposition,notes,comments,notes,,,,,
NULL,N,1A,RH,AS,2641,9347,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,3,0,N,1,NULL,J,F,J,J,J,J,F,90,34.5,19,10,2021,1505,NULL,CT,14,300,NULL,,,,,,,,
NULL,R,1A,MB,RL,2641,9347,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,2,NULL,J,F,J,J,L,J,F,88,36,8,11,2021,8:25,8:58,CT,1,300,NULL,,,,,,,,
NULL,N,1A,JH,SL,2641,9348,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,3,0,N,1,NULL,J,L,J,J,J,J,F,104,53,19,10,2021,1505,1600,CT,50,300,NULL,,,,,,,,
NULL,N,1A,JH,SL,2641,9349,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,L,J,J,J,J,F,100,41.1,19,10,2021,1505,1606,CT,9,300,NULL,,,,,,,,
NULL,N,1A,JH,SL,2641,9350,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,J,J,F,98,43.3,19,10,2021,1535,1624,CT,3,300,NULL,,,,,,,,
NULL,N,1A,SL,JH,2641,9351,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,L,J,F,86,35.6,19,10,2021,1535,1648,CT,16,300,NULL,,,,,,,,
NULL,N,1A,SL,ZA,2641,9352,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,L,J,J,L,J,F,88,36.7,20,10,2021,620,641,CT,14,300,NULL,,,,,,,,
NULL,N,1A,TB,SL,2641,9353,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,F,J,J,J,L,F,106,45.3,20,10,2021,655,722,CT,10,300,NULL,,,,,,,,
NULL,N,1A,TB,MB,2641,9354,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,3,0,N,1,NULL,J,F,J,J,J,J,F,89,33.4,20,10,2021,825,915,CT,9,300,NULL,,,,,,,,
NULL,N,1A,MB,TB,2641,9355,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,2,NULL,J,L,J,J,J,J,F,99,45.6,20,10,2021,825,930,CT,NULL,300,NULL,MITES,,,,,,,
NULL,N,1A,MB,SL,2641,9356,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,L,J,F,96,33,20,10,2021,825,937,CT,16,300,NULL,,,,,,,,
NULL,N,1A,SL,TB,2641,9357,GRCA,Gray Catbird,AHY,DCB,P,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,B,B,B,B,B,B,B,88,32.4,21,10,2021,955,1016,CT,17B,300,NULL,,,,,,,,
NULL,N,1A,TB,SL,2641,9358,GRCA,Gray Catbird,AHY,DCB,P,NULL,U,NULL,NULL,M,NULL,0,0,1,0,N,1,NULL,B,B,B,B,B,B,B,89,32.3,21,10,2021,1005,1026,CT,14,300,NULL,,,,,,,,
